#,Project name,Client,Type,Domain,Industry,Problem statement,Solution provided,Outcome,Key Features,Technology used,Team size,Duration,Status,SPOC,Migration
,AEYC,AEYC,Project,Mobile Development- Cross Platform & Web Development,Education,"Association for the Education of Young Children (AEYC) is a non-profit association in US focused on improving the well-being of young children, with particular emphasis on the quality of educational and developmental services for children from birth through age 8 . 
 AEYC provides many different programs to assist professionals who work to educate young children . People who offers facilities for young children education, AEYC supports them with qualified staff, state licenses (if required for facility) etc.
 AEYC team keeps track of background verifications, trainings of staff and offers scholarship programs. AEYC has various processes and flows where manual, and paperwork was involved which slowed down the process and not easy to maintain the data. They were looking for digital solution.","In Time Tec developed RISE web application where they users get all the required features and things were automated and easy to maintain.​

Access: Public ; Total Users: 25000+ ; Language Support: English and Spanish ; ​

","RISE Web Application helps AEYC to automate their various process which were manual and time consuming.​

RISE application has set of features for facility creation, grants approval, Trainings etc which enables users and AEYC team to get rid of manual and paper-work.","Dashboard​
Banners - Banners are helpful to display the Important information to the Users​
Pending Evaluations - Once user register to the training and attended that training, the pending evaluations of that particular training or TTA will be displayed in the dashboard.​
Trainings - As a Rise user there are mandatory trainings need to complete.​
User can view and register for all the trainings,  created by the Idaho stars Trainers. Here we have Two types of Trainings which are Live trainings where it will be held on through the location and second one is online trainings these will be work based on the cloud id.​
PDRecord -  This is the Professional Development Record from IdahoSTARS. The record has five tabs. View or download any or all of the tabs on your record​",React Native,30,8+ Years,Active,,
,BFSI - Kount,"Equifax, Inc",Project,Mobile SDK Development,IT,"Kount specializes in providing fraud detection software and tools along with preventing account takeover fraud. ​

They reached out to us for integrating the existing fraud detection software with their clients and to add ​

Geocoding functionality to classic Kount Mobile SDKs.","[FINANCIAL SECURITY] Our major work started with helping them integrate existing fraud detection software with major card brands Verifi and Ethoca. We focused on adding functionalities like User Behavioural Data capturing to the existing SDKs and to integrate it with the Mobile App's to be used by customers of Kount for Android and iOS platform. We begin the SDK support for Hybrid Apps developed in ReactNative and Flutter frameworks too. We contributed into expanding different ways of distributing Kount SDK's and SDK maintenance. Currently working on SDKs support to Xamarin and .NET.
Access – Internal ​

Target User Group: Global (Used by clients of KOUNT for fraud detection)​

Team Structure – 2 Software Engineers (iOS), 2 Software Engineers (Android), 1 Software Engineer (QA), 1 Software Engineer (SDET)","The integration played a major role in the revenue growth and expanding their merchant line. The portal creation simplified most of the manual work and provided a quick and go to solution to access all the information.​

​",,"React Native, Native & Flutter",32,4+ Years,Active,,
,SEBO,SEBO,Project,Web Development,Retail/E-commerce,"Client was in retail business for vacuum cleaners in US. They wanted digital presence where potential prospects and customers can buy vacuum cleaners. Also, platform would provide videos / information about their products. They wanted to manage the product catalogues, content through an Admin Panel. SEBO has various websites, its goal is to provide a gateway between client and various end users (Dealers and Non-Dealers) to purchase vacuum cleaners.​","In Time Tec has developed and maintained an eCommerce website for SEBO to sell vacuum cleaners and spare parts. Our involvement with the projects comes with various responsibilities such as:​

Provide site security by making sure all the server components stays up to date.​

Provide timely CMS updates to all the sites.​

Fulfil any requirement that the clients may have.​

Developing custom components for website features.​

Total Users: 10000+ ; Access: Public ; Target User Group: Global",Earlier process was manual. In Time Tec helped in digital transformation that helped in increasing market reach and improved consumer engagement.,,"PHP, Laravel, Shopify, WordPress multisite, DevOps (AWS), QA (manual + automation-performance testing)​",3,9+ Years,Closed,,Manual to Digitalization
,Fitted Running,Fitted Running,Project,Web Development,Retail/E-commerce,"Client was in eCommerce business and sold sports products, i.e., running shoes. Their existing website was developed using WordPress and had multisite feature. They were facing challenges with performance of the website and needed additional features to address business requirements.","In Time Tec developed supported with following - ​

Performance optimization and refinement of existing system. Earlier services were taking very long (48-72 hours). We optimized it to execute in half of the time.​

It was a web portal for different stores in US. User can login and order using the web portal. This was created with multisite architecture. ​

Enhanced the Admin portal which was used to maintain the inventory for various stores and used to provide valuable information about specific products availability to the store admins​

 Access – Public ; Target Users – Store vendors and buyers in US","End users got benefited by faster, efficient and improved experience of the website. It increased customer retention and new user acquisition ratio.",,"PHP, Laravel, Shopify, WordPress multisite, DevOps (AWS), QA (manual + automation-performance testing)​",8,1Year,Closed,,
,BFSI-CII,CII,Project,Web Development,Finance,"Credit Interlink produced a requirement to do research and development for their ongoing website. They asked us to do the development and QA for new and legacy work (different kind of verification orders, new third-party integrations etc.) The envisaged web application would be used as platform to verify information related to customers in order to help III parties to process loan applications. ​","Intimetec has provided a work force which helped CII to do research and development along with QA for their new project. We helped in the ongoing projects well. We have provided the support for their major production deployment (encompass roll-out). ​

Intimetec helped CII to find out the areas where they can do improvements (fax services integrated with Documo)  and grow their business. ​

Intimetec helped processors (CII's internal operations team) to do their job without putting lot of manual efforts by implementing automation and different tools (admin tool, billing tool etc.)​

Access: Internal (CII Employees) as well as External ​
Target User Group: US​
Team Structure:   7 Software Engineer (Development) ;  4 Software Engineer (QA) ; 2 DevOps​","CII is on the leading verification service provider in the market and IntimeTec helped them to grow their business at a level where they have collaborated with bank of England, bank of America, chase bank, wells Fargo, Finicity etc.)​

​

In Time Tec helped in III party integrations which includes – Docusign, Documo, Finicity, TWN (work Number), Equifax, TransUnion and Experian​

​",,".NET Core, ASP .NET, Angular, MVC, Python, React JS, GraphQL, GoLang, Android, iOS, AWS, Kubernetes, Docker",13,10+ Years,Active,Gaurav,
,BFSI-BCI,BCI ,Project,"Web Development, Automation",Insurance,"BCI provides Idaho Health Insurance, Idaho Dental Insurance, and Idaho Medicare Advantage in state. We started 5 years back for one of automation project.","This is a major Insurance domain client with extensions in other states other than Idaho as well. We started with Automation support and later Web Development work. This is an ongoing project with visibility to continue work to support with compliance and digitization of processes. ​
Currently we are providing various services to BCI :- ​
Web Developemnt ​
Automation SDET work ​
Compliance work like submitting data to BCBSA​
Access – Public ; Target User Group: US","Currently we are saving money with Automation like Mobile automation for them.​

By submitting data to BCBSA we have saved lot of money for BCI as it was delayed by 2 years and we have completed this work in 5 months only.",,".NET Core, ASP .NET, Angular, MVC, Python, React JS, GraphQL, GoLang, Android, iOS, AWS, Kubernetes, Docker",15,5+ Years,Active,,
,BasicSafe,BasicSafe- Simplify Compliance LLC,Project,Mobile Development,IT (Safety),BasicSafe is an internet-based integrated approach to managing safe work cultures and compliance with regulatory requirements. Extensive programming based on proven safety methodologies that target employee training and information access is the backbone of the BasicSafe suite. BasicSafe is built by skilled programmers working with experienced safety managers at companies helping develop this software. They reached out to us for better UI & Usability.,"We started working with BasicSafe first on UI refinement and they impressed with work which we did on UI refinement.​
And along with that we have focus on using cloud services like AWS to solve their problems. And as most of the time the application will be used in sites with low/no network areas. We built as mobile application with React Native with responsive design where it works in both mobile/tablet and that can support all screen sizes. ​
Access – External​
Target User Group: Global​
Team Structure – 8 Software Engineers (Development), 2 Qualification Engineers","Decreased code deployment time with automated CI/CD pipeline ​

Created mobile application which works seamlessly with or without network​

Integrated cloud services like s3 bucket for database/code backups.","Key Features: ​

Authentication​

Barcode scanning​

Audit tool​

Policies and Procedures tool​

Incident tool​

JSA tool​

SDS tool​

LOTO tool​

Offline usage​

Responsive in all screen sizes​
Platform: iOS, Android​
Technology: (Cross platform)  React Native",React Native,10,5 Years,Closed,,
,Liiingo,Liiingo,Project,Web Development- Application Revamp,IT,"Liiingo is all about connections. With Liiingo you can: -Engage visitors with interactive information, videos, and graphics -Keep employees up to date with protocol, shift changes, and announcements -and make your company inclusive with smart language detection.​

ITT is revamping their web and mobile application with a new UI and existing bug fixes. Also migrating to latest React native versions.","Liiingo partners with companies to provide customer connection and engagement through it’s web and mobile content platform. Liiingo provides a dynamic links and QR Codes that links a partner’s customers and end users to localized content about a product, a location, or a service.​

Our work includes modifying the existing web application so that it works on a variety of user devices, not just mobile phone web browsers. Liiingo desires to provide a web view experience that is appropriate for phones, tablets, laptop and desktop computers, and possibly kiosk and larger devices up to 4K resolution.​​
Access: Public / Global ​
Target User Group: US​
Team Structure – 1 Tech Lead, 2 Software Engineers, 1 QA",Consistent UI/UX in different devices. Lesser UI issues. Smooth performance of mobile and web apps. ​,,React Native,4,6 Months,Active,Neetima,Migration to latest React Native Version
,Air Products,"Air Products and Chemicals, Inc.",Project,Web Development,Manufacturing,"Air Products’ objective was to partner with In Time Tec for long term software development services that increase capability and capacity as needed for project completion. In Time Tec has been supporting them with maintenance and upgradation of existing applications, as well as develop a newer version for some of them. ","We maintain and develop 5 applications under the Air Products client umbrella, which facilitate various workflows in the gas plant management systems.  The applications are:​

Digital CI: Tool is used to visualize plants, customers, & fuelling stations information within a particular geographical location along with their different properties to produce or transport gases based on carbon intensity.​

Reformer Balancing: A process conducted through IATWT tools (which In Time Tec team works on) carried for the plants which collects and process temperature data, runs optimizers through process inputs and maps that creates reports to summarize the findings for a particular plant.​

OptiPlus: Tool used to check periodic data of gas pipelines and other machineries in their plants by which they troubleshoot the system and perform optimization, if required.​

MPO: (Multi plant optimization) Tool used to provide details about various products, plants and customers across various franchises like Gulf Coast, Alberta, Southern California etc.​

Smart View: Tool is used on handheld devices/tablets to monitor time real data from different gas plant monitoring stations. In Time Tec provides database support.","In Time Tec has given a face lift to some of the existing apps for Air Products and has helped in creating visually attractive, user friendly, dynamic and robust applications. ​

We are now fully aware of their domain (role of the software applications in a chemical industry) and have been successfully working with the Air Products team in enhancing the overall user experience.",,"Angular, .NET, Azure DevOps",29,1 Year,Active,Sudhir,
,Simplot DBA,Simplot,Project,,Agriculture,Simplot was looking for capable engineers to handle their databases and maintain them. They mainly wanted us to have a standard defined for the database backup and other  maintenance activities for their servers. ,"As per initial requirement ITT was mainly focusing on creating database maintenance plans and defining standards on fewer than 100 Servers. Now, We maintain 400 servers and 4000 databases of the entire Simplot organization. We provide database support for both North American and Australian clients. The team is responsible for the database maintenance, configuration and deployment of new and existing DB servers. We are responsible for any strategic decision on the project level. We configure and maintain the High Availability techniques across the project. We also take part in critical decision-making process along with Simplot team. We provide solutions for various security aspects and end to end support during server migrations or database upgrades.",,,,2,6+ Years,Active,,Database Server Migration
