No.,Industry / Domain,Client Name,Client Country,Project Title,Project Summary,ITT Delivery SPOC/PM,Platform ,Technology,Team Size,Project Term,Current Status,Any Other Comments
1,Printing,HP Inc,US,HP FHM​,"[Printing / BI ] HP Fleet Health Management: Is a Visualization and Data Management project which helps  extracts Printer data from multiple unorganized data sources, cleanse & streamline the data , transform it and create visualizations for the business group. Using these visualization, HP make market decisions on the Device Error Data and replacements if needed. ",Vijaya,Analytics,"Power BI, Python (Data Science)",4,3+ years,Active Development,
2,Printing,HP Inc,US,HP S&M Reporting​,HP Sales & Marketing Reporting Team mainly works on creating & maintaining Power BI reports for below HP groups 1) Partner Online Analytics 2) Supplies Replinshment 3) Sale productivity tool. Each of the reports are used by HP and the partners to access the sales trend and adopt the required strategy to increase it,Vijaya,Analytics,"Power BI, DSS (Data Engineering)",7,3+ years,Active Development,
3,Printing,HP Inc,US/Europe,HPSC​,"Web application where HP partners, sales associates and general public can access the latest HP product information, fresh sales and marketing assets, and helpful tools; from customizable presentation materials to guided product selections. We provide a personalized user experience and content for over 65 countries and 30+ languages.",Amulya,Web,"ReactJS, .NET, Azure DevOps",7,3+ years,Closed ,"Updated (July-5) - Status is ""Closed"""
4,Manufacturing,"Air Products and Chemicals, Inc.",US,Air Products,"[Manufacturing/Chemicals ] We maintain and develop 5 applications under the Air Products client umbrella, which facilitate various workflows in the gas plant management systems. 

The applications are:
Digital CI
OptiPlus
Reformer Balancing
MPO
Smart View",Amulya,Web,"Angular, .NET, Azure DevOps",24,1+ year,Active Development,Updated (July-5) - Duration - 1+ years and new SOW (6+ months) to be executed
5,Printing,HP Inc,US,Dune​,"[Printing / Embedded] The Dune firmware platform is a global project that creates firmware for all HP printers. Our team assists the client in delivering the fundamental foundations and capabilities. Our areas of expertise include the development of firmware (FM) and software development kits (SDK) for HP imaging and printing equipment. We integrate a web server within the device so that it may be configured via the network using a standard web browser. We provide a core view framework that offers infrastructure to support all user interfaces across all products. We create walkup features and build components to assist client in comprehending and troubleshooting HP device system conditions. We help our client in all phases of software development, be it design, development, E2E testing, or support.",Arpana,IoT/H/W,"Angular, C++, QT, QML, Python, Java",36+10,3.5 years,Active Development,
6,BFSI,United Heritage Insurance ,US,United Heritage​,"[BFSI / Insurance] United Heritage is an insurance provider that offers vehicle and house insurance. We leverage a unique combination of testing methodologies, tools, technical experience, and domain understanding to assist the client in delivering a flawless product within the given time frame. We provide end-to-end manual testing services for your functional testing requirements, utilizing a foundation of full-fledged test methods, in-house accelerators, and all market-leading functional testing technologies. Insurance includes Group life, home and auto insurance.",Arpana,All platforms,Manual QA,3,2+ years,Active Testing,
7,Printing,"In Time Tec, HP Inc & Pharos Systems International, Inc",US,Device Data Set (DDS),"[Printing/MPS] The Device Data Set (DDS) is a home-grown product that is a cluster of Asset (printer) information that helps the user to gain device visibility and assist the business growth by spending less time on printing management and is cost-effective. DDS printer information is also used for managing printer service applications such as Cartos, Portico, Cartographer etc.",Arpana,,,,5 + Years,Active ,
8,Printing,"Sharp Global, CopyPro, Inc, Pharos Systems International, Inc.",US,Cartos​,[Printing/MPS] Cartos is home grown product offered as an asset plotting system for managing printers on the floors. Clients use this application via APIs exposed by the product.,Mahesh,Web,"Angular, Node.js, DevOps",21,6+ years ,Active ,
9,Printing,HP Inc,US,Portico​,[Printing/MPS] Portico is a different flavor of Cartos used by HP with added features dedicated to HP,Mahesh,Web,"Angular, Node.js, DevOps",4,3+ years,Active ,
10,Printing,"Pharos Systems International, Inc",US,Pharos Support​,We support product - Blueprint Solution owned by Pharos. PaaS platform.,Mahesh,IoT/H/W,,6,2.5+ years,Active ,
11,Computers,HP Inc,US,HP ITSM L1,[Computer Peripherals] Asset management system for HP,Mahesh,Web,ServiceNow,5,2.5+ years,,
12,Printing,HP Inc,US,HP S&M Portal​,"S:ARA Application Overview:
Supplies and advanced replenishment (S: ARA) is a project by hp to manage its inventory for the following products to have the maximum business gains.
Ink, Toner, Uk and Tx
The project deals with the scope of managing inventory of the above products to capitalize the business gains by managing the quantity of the products, which are to be delivered to its market.
The scope of the market is business-to-business. The nodal point for many operations is through the distributors. Two main beneficiaries of the application are distributors and the business planners who plan the streams of product delivery by channelizing the products to a distributor from which the maximum business gains can be achieved.
Currently used by Pilot Disrtubutors - 10
BP and DBMs - ~10-20


",Raunak,Web,"ReactJs, Node.js",19.5,2+ years,Active Development,
13,Agriculture ,NextGen AgTech,US,Cattle Country Capital​,"[AgTech]Cattle Country Capital app is a solution for tracking finance data of cattle for various feed lots. CCC helps in cutting paperwork and multiple spreadsheets required for managing cattle and related finances. CCC has multiple software applications to cover lifecycle of livestock from procurement, animal husbandry involving feeding, rationing, health and reporting, and transportation for further processing in the cattle supply chain.",Raunak,Web+Mobile,".NET, ReactJS",14.5,2 years,Active Development,
14,Computers,rf IDEAS Inc,Chicago (US),RFIDeas​,"[Computer Peripherals] rf IDEAS Configuration Utility:
Configuration Utility to configure different sort of Readers, get the card data, manipulate card data, scan different cards, beep the Reader, set the led etc), Software Development Kit for Windows, Linux, Mac and support for various different OS such as cross-compilation for embedded platform. We have a different SDK for Android having same capabilities as Windows SDK. 
We also have a command line tool RRM -
Remote Reader Management Tool 
The purpose of this project is to create a command-line utility that can load HWG+ configuration files, INI configuration files, and Bluetooth files on the same system. (The Remote functionality should be handled at the user end). In addition, loading of the firmware binaries should be supported.",Raunak,,"C++, Node.js, Java, Typescript,Angular",6,10 + Years,active Development,
15,Computers,HP Inc,US,HP DAAS Portal​,"[Computer Peripherals] Introduction -  PS Services Portal tool is a web-based application for HP enterprise direct customers. HP PS Services Portal is your one place for all things HP Personal Systems Services. HP Personal System Services partners with customers to increase user productivity, operational efficiency, and cost predictability.

Vision - To give our Customers, Stakeholders, and Partners a single, effective place for everything PS Services enabling enhanced GROWTH, addressing PAIN, and effectively executing the transition to the LAER model – Land, Adopt, Expand, Renew - One Place For HP PS Services! ",Raunak,Web,"
React JS

 Express JS, AWS Lambda 

DynamoDB,MongoDB
Cypress",5.75,8+ years,Active Development, 
