#,Project name,Client,Type,Domain,Industry,Problem statement,Solution provided,Outcome,Key Features,Technology used,Team size,Duration,Status,SPOC,Migration
,aeyc,aeyc,project,mobile development- cross platform & web development,education,"association for the education of young children (aeyc) is a non-profit association in us focused on improving the well-being of young children, with particular emphasis on the quality of educational and developmental services for children from birth through age 8 . 
 aeyc provides many different programs to assist professionals who work to educate young children . people who offers facilities for young children education, aeyc supports them with qualified staff, state licenses (if required for facility) etc.
 aeyc team keeps track of background verifications, trainings of staff and offers scholarship programs. aeyc has various processes and flows where manual, and paperwork was involved which slowed down the process and not easy to maintain the data. they were looking for digital solution.","in time tec developed rise web application where they users get all the required features and things were automated and easy to maintain.​

access: public ; total users: 25000+ ; language support: english and spanish ; ​

","rise web application helps aeyc to automate their various process which were manual and time consuming.​

rise application has set of features for facility creation, grants approval, trainings etc which enables users and aeyc team to get rid of manual and paper-work.","dashboard​
banners - banners are helpful to display the important information to the users​
pending evaluations - once user register to the training and attended that training, the pending evaluations of that particular training or tta will be displayed in the dashboard.​
trainings - as a rise user there are mandatory trainings need to complete.​
user can view and register for all the trainings,  created by the idaho stars trainers. here we have two types of trainings which are live trainings where it will be held on through the location and second one is online trainings these will be work based on the cloud id.​
pdrecord -  this is the professional development record from idahostars. the record has five tabs. view or download any or all of the tabs on your record​",react native,30,8+ years,active,,
,bfsi - kount,"equifax, inc",project,mobile sdk development,it,"kount specializes in providing fraud detection software and tools along with preventing account takeover fraud. ​

they reached out to us for integrating the existing fraud detection software with their clients and to add ​

geocoding functionality to classic kount mobile sdks.","[financial security] our major work started with helping them integrate existing fraud detection software with major card brands verifi and ethoca. we focused on adding functionalities like user behavioural data capturing to the existing sdks and to integrate it with the mobile app's to be used by customers of kount for android and ios platform. we begin the sdk support for hybrid apps developed in reactnative and flutter frameworks too. we contributed into expanding different ways of distributing kount sdk's and sdk maintenance. currently working on sdks support to xamarin and .net.
access – internal ​

target user group: global (used by clients of kount for fraud detection)​

team structure – 2 software engineers (ios), 2 software engineers (android), 1 software engineer (qa), 1 software engineer (sdet)","the integration played a major role in the revenue growth and expanding their merchant line. the portal creation simplified most of the manual work and provided a quick and go to solution to access all the information.​

​",,"react native, native & flutter",32,4+ years,active,,
,sebo,sebo,project,web development,retail/e-commerce,"client was in retail business for vacuum cleaners in us. they wanted digital presence where potential prospects and customers can buy vacuum cleaners. also, platform would provide videos / information about their products. they wanted to manage the product catalogues, content through an admin panel. sebo has various websites, its goal is to provide a gateway between client and various end users (dealers and non-dealers) to purchase vacuum cleaners.​","in time tec has developed and maintained an ecommerce website for sebo to sell vacuum cleaners and spare parts. our involvement with the projects comes with various responsibilities such as:​

provide site security by making sure all the server components stays up to date.​

provide timely cms updates to all the sites.​

fulfil any requirement that the clients may have.​

developing custom components for website features.​

total users: 10000+ ; access: public ; target user group: global",earlier process was manual. in time tec helped in digital transformation that helped in increasing market reach and improved consumer engagement.,,"php, laravel, shopify, wordpress multisite, devops (aws), qa (manual + automation-performance testing)​",3,9+ years,closed,,manual to digitalization
,fitted running,fitted running,project,web development,retail/e-commerce,"client was in ecommerce business and sold sports products, i.e., running shoes. their existing website was developed using wordpress and had multisite feature. they were facing challenges with performance of the website and needed additional features to address business requirements.","in time tec developed supported with following - ​

performance optimization and refinement of existing system. earlier services were taking very long (48-72 hours). we optimized it to execute in half of the time.​

it was a web portal for different stores in us. user can login and order using the web portal. this was created with multisite architecture. ​

enhanced the admin portal which was used to maintain the inventory for various stores and used to provide valuable information about specific products availability to the store admins​

 access – public ; target users – store vendors and buyers in us","end users got benefited by faster, efficient and improved experience of the website. it increased customer retention and new user acquisition ratio.",,"php, laravel, shopify, wordpress multisite, devops (aws), qa (manual + automation-performance testing)​",8,1year,closed,,
,bfsi-cii,cii,project,web development,finance,"credit interlink produced a requirement to do research and development for their ongoing website. they asked us to do the development and qa for new and legacy work (different kind of verification orders, new third-party integrations etc.) the envisaged web application would be used as platform to verify information related to customers in order to help iii parties to process loan applications. ​","intimetec has provided a work force which helped cii to do research and development along with qa for their new project. we helped in the ongoing projects well. we have provided the support for their major production deployment (encompass roll-out). ​

intimetec helped cii to find out the areas where they can do improvements (fax services integrated with documo)  and grow their business. ​

intimetec helped processors (cii's internal operations team) to do their job without putting lot of manual efforts by implementing automation and different tools (admin tool, billing tool etc.)​

access: internal (cii employees) as well as external ​
target user group: us​
team structure:   7 software engineer (development) ;  4 software engineer (qa) ; 2 devops​","cii is on the leading verification service provider in the market and intimetec helped them to grow their business at a level where they have collaborated with bank of england, bank of america, chase bank, wells fargo, finicity etc.)​

​

in time tec helped in iii party integrations which includes – docusign, documo, finicity, twn (work number), equifax, transunion and experian​

​",,".net core, asp .net, angular, mvc, python, react js, graphql, golang, android, ios, aws, kubernetes, docker",13,10+ years,active,gaurav,
,bfsi-bci,bci ,project,"web development, automation",insurance,"bci provides idaho health insurance, idaho dental insurance, and idaho medicare advantage in state. we started 5 years back for one of automation project.","this is a major insurance domain client with extensions in other states other than idaho as well. we started with automation support and later web development work. this is an ongoing project with visibility to continue work to support with compliance and digitization of processes. ​
currently we are providing various services to bci :- ​
web developemnt ​
automation sdet work ​
compliance work like submitting data to bcbsa​
access – public ; target user group: us","currently we are saving money with automation like mobile automation for them.​

by submitting data to bcbsa we have saved lot of money for bci as it was delayed by 2 years and we have completed this work in 5 months only.",,".net core, asp .net, angular, mvc, python, react js, graphql, golang, android, ios, aws, kubernetes, docker",15,5+ years,active,,
,basicsafe,basicsafe- simplify compliance llc,project,mobile development,it (safety),basicsafe is an internet-based integrated approach to managing safe work cultures and compliance with regulatory requirements. extensive programming based on proven safety methodologies that target employee training and information access is the backbone of the basicsafe suite. basicsafe is built by skilled programmers working with experienced safety managers at companies helping develop this software. they reached out to us for better ui & usability.,"we started working with basicsafe first on ui refinement and they impressed with work which we did on ui refinement.​
and along with that we have focus on using cloud services like aws to solve their problems. and as most of the time the application will be used in sites with low/no network areas. we built as mobile application with react native with responsive design where it works in both mobile/tablet and that can support all screen sizes. ​
access – external​
target user group: global​
team structure – 8 software engineers (development), 2 qualification engineers","decreased code deployment time with automated ci/cd pipeline ​

created mobile application which works seamlessly with or without network​

integrated cloud services like s3 bucket for database/code backups.","key features: ​

authentication​

barcode scanning​

audit tool​

policies and procedures tool​

incident tool​

jsa tool​

sds tool​

loto tool​

offline usage​

responsive in all screen sizes​
platform: ios, android​
technology: (cross platform)  react native",react native,10,5 years,closed,,
,liiingo,liiingo,project,web development- application revamp,it,"liiingo is all about connections. with liiingo you can: -engage visitors with interactive information, videos, and graphics -keep employees up to date with protocol, shift changes, and announcements -and make your company inclusive with smart language detection.​

itt is revamping their web and mobile application with a new ui and existing bug fixes. also migrating to latest react native versions.","liiingo partners with companies to provide customer connection and engagement through it’s web and mobile content platform. liiingo provides a dynamic links and qr codes that links a partner’s customers and end users to localized content about a product, a location, or a service.​

our work includes modifying the existing web application so that it works on a variety of user devices, not just mobile phone web browsers. liiingo desires to provide a web view experience that is appropriate for phones, tablets, laptop and desktop computers, and possibly kiosk and larger devices up to 4k resolution.​​
access: public / global ​
target user group: us​
team structure – 1 tech lead, 2 software engineers, 1 qa",consistent ui/ux in different devices. lesser ui issues. smooth performance of mobile and web apps. ​,,react native,4,6 months,active,neetima,migration to latest react native version
,air products,"air products and chemicals, inc.",project,web development,manufacturing,"air products’ objective was to partner with in time tec for long term software development services that increase capability and capacity as needed for project completion. in time tec has been supporting them with maintenance and upgradation of existing applications, as well as develop a newer version for some of them. ","we maintain and develop 5 applications under the air products client umbrella, which facilitate various workflows in the gas plant management systems.  the applications are:​

digital ci: tool is used to visualize plants, customers, & fuelling stations information within a particular geographical location along with their different properties to produce or transport gases based on carbon intensity.​

reformer balancing: a process conducted through iatwt tools (which in time tec team works on) carried for the plants which collects and process temperature data, runs optimizers through process inputs and maps that creates reports to summarize the findings for a particular plant.​

optiplus: tool used to check periodic data of gas pipelines and other machineries in their plants by which they troubleshoot the system and perform optimization, if required.​

mpo: (multi plant optimization) tool used to provide details about various products, plants and customers across various franchises like gulf coast, alberta, southern california etc.​

smart view: tool is used on handheld devices/tablets to monitor time real data from different gas plant monitoring stations. in time tec provides database support.","in time tec has given a face lift to some of the existing apps for air products and has helped in creating visually attractive, user friendly, dynamic and robust applications. ​

we are now fully aware of their domain (role of the software applications in a chemical industry) and have been successfully working with the air products team in enhancing the overall user experience.",,"angular, .net, azure devops",29,1 year,active,sudhir,
,simplot dba,simplot,project,,agriculture,simplot was looking for capable engineers to handle their databases and maintain them. they mainly wanted us to have a standard defined for the database backup and other  maintenance activities for their servers. ,"as per initial requirement itt was mainly focusing on creating database maintenance plans and defining standards on fewer than 100 servers. now, we maintain 400 servers and 4000 databases of the entire simplot organization. we provide database support for both north american and australian clients. the team is responsible for the database maintenance, configuration and deployment of new and existing db servers. we are responsible for any strategic decision on the project level. we configure and maintain the high availability techniques across the project. we also take part in critical decision-making process along with simplot team. we provide solutions for various security aspects and end to end support during server migrations or database upgrades.",,,,2,6+ years,active,,database server migration
